id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
95051,Female,24,1,10.0,1,< 1 Year,No,18340.0,152.0,223
154370,Female,62,1,33.0,1,1-2 Year,No,22481.0,154.0,33
131752,Female,25,1,8.0,1,< 1 Year,No,47676.0,152.0,30
28904,Male,25,1,27.0,1,< 1 Year,No,33230.0,152.0,278
433421,Male,26,1,21.0,1,< 1 Year,No,22364.0,152.0,57
58148,Female,23,1,12.0,1,< 1 Year,No,31715.0,152.0,198
374198,Female,24,1,41.0,1,< 1 Year,No,43877.0,152.0,240
282350,Male,24,1,29.0,1,< 1 Year,No,30085.0,152.0,50
446983,Female,22,1,36.0,1,< 1 Year,No,44898.0,152.0,55
137579,Female,56,1,28.0,1,1-2 Year,No,57881.0,29.0,139
39315,Male,28,1,35.0,1,< 1 Year,No,40595.0,152.0,287
132009,Female,23,1,41.0,1,< 1 Year,No,27094.0,152.0,189
151882,Female,26,1,28.0,1,< 1 Year,No,40323.0,152.0,53
125426,Female,22,1,35.0,0,< 1 Year,No,27711.0,160.0,23
145800,Male,26,1,46.0,1,< 1 Year,No,30032.0,152.0,23
155617,Female,21,1,28.0,1,< 1 Year,No,38781.0,152.0,141
157273,Female,30,1,8.0,1,< 1 Year,No,39592.0,152.0,207
264083,Male,24,1,8.0,1,< 1 Year,No,41202.0,160.0,132
204042,Female,22,1,6.0,1,< 1 Year,No,25929.0,152.0,104
407393,Female,20,1,8.0,1,< 1 Year,No,34450.0,160.0,217
389269,Male,58,1,49.0,1,1-2 Year,No,33277.0,124.0,298
235333,Male,28,1,41.0,1,< 1 Year,No,39004.0,152.0,36
161570,Male,31,1,21.0,1,< 1 Year,No,47117.0,152.0,43
266741,Male,28,1,28.0,1,< 1 Year,No,39702.0,152.0,248
273105,Female,28,1,8.0,1,< 1 Year,No,34522.0,152.0,282
386006,Male,23,1,33.0,1,< 1 Year,No,36938.0,152.0,185
420520,Female,23,1,46.0,1,< 1 Year,No,25451.0,152.0,265
133628,Female,35,1,0.0,1,1-2 Year,No,2630.0,7.0,182
303093,Male,24,1,35.0,1,< 1 Year,No,38170.0,152.0,298
290739,Female,24,1,29.0,1,< 1 Year,No,32597.0,152.0,173
327623,Male,26,1,13.0,1,< 1 Year,No,28728.0,152.0,163
29350,Female,21,1,33.0,1,< 1 Year,No,28447.0,152.0,221
108342,Male,41,1,8.0,1,1-2 Year,No,28761.0,124.0,92
378383,Male,41,1,41.0,1,1-2 Year,No,35815.0,157.0,260
173308,Male,53,0,28.0,1,1-2 Year,No,25343.0,26.0,40
148743,Male,74,1,11.0,1,1-2 Year,No,2630.0,120.0,116
357781,Female,68,1,28.0,1,1-2 Year,No,29515.0,26.0,270
45816,Male,56,1,12.0,1,1-2 Year,No,44945.0,26.0,236
276825,Female,41,1,28.0,1,1-2 Year,No,42741.0,124.0,195
444212,Female,26,1,21.0,1,< 1 Year,No,22631.0,152.0,91
441451,Male,29,1,35.0,1,1-2 Year,No,24456.0,124.0,290
270322,Female,24,1,35.0,1,< 1 Year,No,24766.0,152.0,142
324213,Male,21,1,3.0,1,< 1 Year,No,2630.0,160.0,131
208657,Female,36,1,11.0,0,1-2 Year,No,44534.0,124.0,212
104125,Male,24,1,41.0,1,< 1 Year,No,39019.0,156.0,189
225393,Male,26,1,31.0,0,< 1 Year,No,2630.0,152.0,104
312462,Female,22,1,21.0,1,< 1 Year,No,31893.0,152.0,59
459861,Female,38,1,8.0,1,1-2 Year,No,34333.0,152.0,120
158649,Female,24,1,2.0,1,< 1 Year,No,41222.0,152.0,286
110193,Female,47,1,8.0,1,1-2 Year,No,54536.0,73.0,161
353140,Male,59,1,8.0,1,1-2 Year,No,43531.0,26.0,278
97806,Male,25,1,26.0,1,< 1 Year,No,30833.0,152.0,53
73141,Male,65,1,0.0,0,1-2 Year,No,2630.0,122.0,112
382861,Male,31,1,21.0,1,< 1 Year,No,29709.0,152.0,268
294893,Female,32,1,46.0,1,1-2 Year,No,33115.0,124.0,260
1467,Female,27,1,41.0,1,< 1 Year,No,51869.0,152.0,273
80185,Male,21,1,19.0,1,< 1 Year,No,2630.0,160.0,175
52722,Male,69,1,8.0,1,1-2 Year,No,57798.0,124.0,128
499390,Female,47,1,4.0,1,1-2 Year,No,30151.0,26.0,282
236630,Male,25,1,28.0,0,< 1 Year,No,37720.0,152.0,27
472237,Male,71,1,41.0,1,1-2 Year,No,22453.0,124.0,285
60650,Male,37,1,30.0,1,1-2 Year,No,23445.0,124.0,50
273565,Female,37,1,30.0,1,1-2 Year,No,2630.0,122.0,187
351110,Female,29,1,36.0,1,< 1 Year,No,2630.0,152.0,281
214928,Female,24,1,25.0,1,< 1 Year,No,28744.0,160.0,20
467890,Male,24,1,28.0,1,< 1 Year,No,50161.0,152.0,34
256600,Female,25,1,36.0,1,< 1 Year,No,37153.0,152.0,143
203722,Male,60,1,8.0,1,1-2 Year,No,28855.0,124.0,131
24060,Male,25,1,8.0,1,< 1 Year,No,35860.0,152.0,260
299940,Female,50,1,28.0,1,1-2 Year,No,40127.0,26.0,64
279100,Male,62,1,3.0,1,1-2 Year,No,30942.0,122.0,62
297347,Male,41,1,28.0,1,1-2 Year,No,28353.0,124.0,146
308301,Male,42,1,28.0,1,1-2 Year,No,34371.0,26.0,137
156029,Female,41,1,28.0,1,1-2 Year,No,38826.0,23.0,100
409670,Male,26,1,3.0,1,< 1 Year,No,26204.0,152.0,144
37308,Female,26,1,28.0,1,< 1 Year,No,38537.0,152.0,84
470512,Female,28,1,11.0,1,< 1 Year,No,25455.0,152.0,157
288474,Male,22,1,41.0,1,< 1 Year,No,43620.0,152.0,275
16577,Male,74,1,28.0,1,1-2 Year,No,41812.0,26.0,200
336657,Male,25,1,15.0,1,< 1 Year,No,24615.0,152.0,163
93090,Female,46,1,15.0,0,1-2 Year,No,33464.0,86.0,22
99659,Male,30,1,3.0,1,< 1 Year,No,34339.0,152.0,205
396476,Male,26,1,8.0,1,< 1 Year,No,48969.0,152.0,31
49251,Female,37,1,8.0,1,1-2 Year,No,29456.0,152.0,175
20768,Female,23,1,41.0,1,< 1 Year,No,30539.0,152.0,52
170216,Male,75,1,24.0,1,1-2 Year,No,24087.0,26.0,296
57504,Male,46,1,35.0,1,1-2 Year,No,35869.0,26.0,179
121465,Female,41,1,37.0,1,1-2 Year,No,25839.0,152.0,210
220580,Male,26,1,28.0,1,< 1 Year,No,49367.0,152.0,200
289086,Female,25,1,24.0,0,< 1 Year,No,22092.0,152.0,154
130169,Female,26,1,10.0,1,< 1 Year,No,27237.0,152.0,34
305677,Male,25,1,45.0,1,< 1 Year,No,2630.0,152.0,172
210604,Male,54,1,28.0,1,1-2 Year,No,24939.0,56.0,160
130175,Female,40,1,15.0,1,1-2 Year,No,32534.0,152.0,32
112565,Female,21,1,45.0,1,< 1 Year,No,34317.0,152.0,293
97668,Male,56,1,50.0,1,1-2 Year,No,43701.0,17.0,34
376676,Female,80,1,46.0,1,1-2 Year,No,33297.0,26.0,282
84495,Male,23,1,46.0,1,< 1 Year,No,31838.0,160.0,88
427751,Male,64,1,8.0,1,1-2 Year,No,46946.0,7.0,227
175844,Female,28,1,41.0,1,< 1 Year,No,2630.0,152.0,225
294978,Male,21,1,30.0,1,< 1 Year,No,18104.0,152.0,48
171061,Female,47,1,2.0,1,1-2 Year,No,29213.0,26.0,153
305385,Female,23,1,21.0,1,< 1 Year,No,26138.0,152.0,288
376767,Female,25,1,6.0,1,< 1 Year,No,32019.0,152.0,188
90085,Male,69,1,50.0,1,1-2 Year,No,42254.0,26.0,61
75793,Female,27,1,29.0,1,< 1 Year,No,30607.0,152.0,262
225460,Female,23,1,9.0,1,< 1 Year,No,20719.0,26.0,80
38063,Female,34,1,41.0,1,1-2 Year,No,32294.0,152.0,150
44640,Female,25,1,15.0,0,< 1 Year,No,27087.0,160.0,138
356670,Male,54,1,33.0,1,1-2 Year,No,37206.0,152.0,106
80551,Male,22,1,25.0,1,< 1 Year,No,33557.0,152.0,250
473513,Female,24,1,18.0,1,< 1 Year,No,33933.0,152.0,258
196279,Male,26,1,11.0,1,< 1 Year,No,36611.0,152.0,104
484172,Male,22,1,35.0,1,< 1 Year,No,37149.0,152.0,39
181181,Male,25,1,30.0,1,< 1 Year,No,26498.0,152.0,223
110467,Female,38,1,8.0,1,1-2 Year,No,23809.0,152.0,216
444256,Female,23,1,29.0,1,< 1 Year,No,23043.0,152.0,239
306976,Male,52,1,28.0,1,1-2 Year,No,2630.0,124.0,105
92610,Male,31,1,8.0,1,< 1 Year,No,39087.0,152.0,290
373515,Female,24,1,8.0,1,< 1 Year,No,42790.0,151.0,115
431222,Female,24,1,30.0,1,< 1 Year,No,16651.0,152.0,193
45490,Male,46,1,28.0,1,1-2 Year,No,44129.0,26.0,137
85537,Male,25,1,50.0,1,< 1 Year,No,20743.0,152.0,61
195353,Female,22,1,30.0,1,< 1 Year,No,17425.0,152.0,180
247396,Female,20,1,30.0,1,< 1 Year,No,29164.0,160.0,15
10798,Male,45,1,7.0,1,1-2 Year,No,2630.0,124.0,185
304059,Female,77,1,28.0,0,1-2 Year,No,47832.0,26.0,14
10863,Male,24,1,36.0,0,< 1 Year,No,36196.0,152.0,241
243138,Male,64,1,47.0,1,1-2 Year,No,25269.0,26.0,128
74719,Female,25,1,21.0,1,< 1 Year,No,26977.0,152.0,30
6647,Female,48,1,47.0,0,1-2 Year,No,31206.0,152.0,97
299716,Female,49,1,28.0,1,1-2 Year,No,34065.0,124.0,52
51367,Female,25,1,28.0,1,< 1 Year,No,26290.0,152.0,14
368779,Female,23,1,37.0,0,< 1 Year,No,35140.0,160.0,184
239088,Male,23,1,46.0,1,< 1 Year,No,31962.0,152.0,58
483076,Male,28,1,28.0,1,< 1 Year,No,40719.0,152.0,280
352750,Female,24,1,46.0,1,< 1 Year,No,24961.0,152.0,168
44116,Female,24,1,11.0,1,< 1 Year,No,26062.0,152.0,293
472535,Female,21,1,47.0,1,< 1 Year,No,2630.0,152.0,238
141771,Female,24,1,2.0,0,< 1 Year,No,2630.0,152.0,21
341011,Female,24,1,32.0,0,< 1 Year,No,2630.0,152.0,257
3328,Male,63,1,28.0,1,1-2 Year,No,39789.0,26.0,241
280040,Male,23,1,13.0,0,< 1 Year,No,27591.0,26.0,59
35029,Male,29,1,26.0,1,< 1 Year,No,2630.0,152.0,157
214976,Male,45,1,46.0,1,1-2 Year,No,40725.0,26.0,268
316655,Male,21,1,12.0,1,< 1 Year,No,35892.0,160.0,220
134590,Female,60,1,46.0,1,1-2 Year,No,38438.0,26.0,263
470785,Male,46,1,28.0,1,1-2 Year,No,29763.0,26.0,45
86729,Male,46,1,28.0,1,1-2 Year,No,2630.0,30.0,186
235359,Male,41,1,15.0,0,1-2 Year,No,33794.0,152.0,187
306477,Male,32,1,41.0,1,< 1 Year,No,42980.0,152.0,52
291785,Male,27,1,28.0,1,< 1 Year,No,29308.0,152.0,158
270601,Female,23,1,14.0,1,< 1 Year,No,35407.0,152.0,84
487196,Female,32,1,28.0,1,1-2 Year,No,63843.0,125.0,39
228212,Female,20,1,8.0,1,< 1 Year,No,33415.0,160.0,182
264319,Female,28,1,5.0,1,< 1 Year,No,26598.0,152.0,18
118754,Male,60,1,29.0,1,1-2 Year,No,28805.0,26.0,184
386132,Female,24,1,28.0,1,< 1 Year,No,24679.0,152.0,61
161707,Male,23,1,46.0,1,< 1 Year,No,36621.0,151.0,152
197057,Female,25,1,30.0,1,< 1 Year,No,28585.0,152.0,195
197551,Male,43,1,8.0,1,1-2 Year,No,51618.0,26.0,149
85031,Male,22,1,29.0,1,< 1 Year,No,79027.0,152.0,280
173368,Male,24,1,7.0,0,< 1 Year,No,41064.0,152.0,219
347662,Male,21,1,11.0,1,< 1 Year,No,33012.0,152.0,162
177301,Female,24,1,28.0,1,< 1 Year,No,30903.0,152.0,242
358324,Male,26,1,21.0,1,< 1 Year,No,25591.0,152.0,258
394741,Female,26,1,30.0,1,< 1 Year,No,33710.0,152.0,167
359290,Male,24,1,46.0,1,< 1 Year,No,28829.0,160.0,146
132037,Female,22,1,41.0,1,< 1 Year,No,29016.0,152.0,257
319039,Male,21,1,11.0,1,< 1 Year,No,32513.0,152.0,141
199935,Female,28,1,43.0,1,< 1 Year,No,34369.0,152.0,225
277110,Male,46,1,50.0,1,1-2 Year,No,31070.0,64.0,180
335515,Female,32,1,36.0,1,< 1 Year,No,2630.0,160.0,75
114640,Female,24,1,41.0,1,< 1 Year,No,26687.0,152.0,117
145704,Female,24,1,28.0,1,< 1 Year,No,50658.0,152.0,279
32846,Female,26,1,30.0,1,< 1 Year,No,31772.0,152.0,138
224104,Male,23,1,30.0,1,< 1 Year,No,29549.0,152.0,202
218353,Female,38,1,32.0,1,1-2 Year,No,38025.0,152.0,250
490397,Male,24,1,41.0,1,< 1 Year,No,37219.0,152.0,138
29327,Female,34,1,8.0,1,1-2 Year,No,29311.0,152.0,216
441378,Male,51,1,15.0,1,1-2 Year,No,35498.0,14.0,240
59827,Female,23,1,39.0,1,< 1 Year,No,37925.0,152.0,196
226007,Female,53,1,32.0,0,1-2 Year,No,28073.0,124.0,223
126525,Male,24,1,28.0,1,< 1 Year,No,33267.0,152.0,248
159602,Female,68,1,50.0,1,1-2 Year,No,29675.0,30.0,207
437323,Female,23,1,32.0,1,< 1 Year,No,25520.0,152.0,237
492474,Female,24,1,8.0,1,< 1 Year,No,55503.0,152.0,128
84007,Female,21,1,50.0,1,< 1 Year,No,46976.0,152.0,69
460255,Female,22,1,15.0,1,< 1 Year,No,39966.0,152.0,111
30808,Female,21,1,32.0,1,< 1 Year,No,2630.0,152.0,297
330853,Female,22,1,46.0,1,< 1 Year,No,24403.0,152.0,232
55811,Male,25,1,41.0,1,< 1 Year,No,33007.0,152.0,173
221587,Male,27,1,28.0,1,< 1 Year,No,42132.0,152.0,119
390684,Male,24,1,13.0,1,< 1 Year,No,2630.0,152.0,97
218316,Male,72,1,28.0,1,1-2 Year,No,41533.0,125.0,144
383885,Male,26,1,41.0,1,< 1 Year,No,55083.0,152.0,261
343534,Male,72,1,24.0,1,1-2 Year,No,2630.0,122.0,252
69454,Female,37,1,36.0,0,1-2 Year,No,2630.0,124.0,263
500555,Male,33,1,15.0,1,< 1 Year,No,38593.0,152.0,28
464400,Female,24,1,41.0,1,< 1 Year,No,22503.0,152.0,25
92218,Male,40,1,28.0,1,1-2 Year,No,2630.0,124.0,267
313143,Male,24,1,12.0,1,< 1 Year,No,28007.0,152.0,124
281721,Female,28,1,6.0,1,< 1 Year,No,31120.0,152.0,96
378421,Female,41,1,28.0,1,1-2 Year,No,29690.0,25.0,278
136912,Male,25,1,39.0,1,< 1 Year,No,30463.0,152.0,156
181825,Male,28,1,28.0,1,< 1 Year,No,41123.0,152.0,101
317463,Male,22,1,8.0,0,< 1 Year,No,43553.0,160.0,130
414048,Female,25,1,33.0,1,< 1 Year,No,29334.0,152.0,230
395865,Male,22,1,28.0,1,< 1 Year,No,48767.0,152.0,239
114061,Male,48,1,29.0,1,1-2 Year,No,2630.0,15.0,49
184950,Female,21,1,46.0,1,< 1 Year,No,27246.0,152.0,138
148934,Female,58,1,39.0,0,1-2 Year,No,28475.0,26.0,134
267496,Male,53,1,28.0,1,1-2 Year,No,26649.0,26.0,21
284794,Male,57,1,8.0,1,1-2 Year,No,20798.0,4.0,17
132522,Female,27,1,9.0,1,< 1 Year,No,38681.0,152.0,186
165140,Male,33,1,47.0,0,< 1 Year,No,44232.0,152.0,55
265856,Male,24,1,28.0,1,< 1 Year,No,37256.0,152.0,174
45260,Male,30,1,41.0,1,< 1 Year,No,43763.0,152.0,248
387740,Male,21,1,46.0,1,< 1 Year,No,32872.0,152.0,270
146872,Female,77,1,31.0,1,1-2 Year,No,2630.0,120.0,208
323584,Male,73,1,23.0,0,1-2 Year,No,34015.0,124.0,152
471394,Female,22,1,8.0,1,< 1 Year,No,44350.0,152.0,167
172757,Female,23,1,33.0,1,< 1 Year,No,30082.0,152.0,103
225101,Male,38,1,17.0,1,1-2 Year,No,42069.0,124.0,121
222256,Female,44,1,14.0,1,1-2 Year,No,21765.0,131.0,278
254313,Male,32,1,30.0,1,< 1 Year,No,24318.0,152.0,133
118287,Male,51,1,28.0,0,1-2 Year,No,51829.0,124.0,115
389681,Male,46,1,41.0,1,1-2 Year,No,29699.0,124.0,20
280075,Female,24,1,11.0,1,< 1 Year,No,32037.0,152.0,49
348991,Female,24,1,14.0,1,< 1 Year,No,18462.0,152.0,137
222823,Female,21,1,50.0,1,< 1 Year,No,37806.0,152.0,116
356,Female,29,1,28.0,1,< 1 Year,No,27715.0,152.0,93
289394,Female,40,1,41.0,1,1-2 Year,No,44930.0,12.0,105
196724,Male,25,1,32.0,1,< 1 Year,No,27330.0,152.0,24
363812,Female,22,1,8.0,1,< 1 Year,No,31590.0,152.0,255
210302,Male,26,1,28.0,0,< 1 Year,No,46061.0,152.0,280
474481,Female,63,1,8.0,1,1-2 Year,No,55008.0,30.0,160
210597,Male,59,1,48.0,1,1-2 Year,No,2630.0,124.0,174
264809,Female,42,1,29.0,1,1-2 Year,No,38997.0,163.0,31
252192,Female,24,1,9.0,1,< 1 Year,No,33709.0,152.0,204
330871,Male,34,1,46.0,1,1-2 Year,No,32604.0,26.0,284
264567,Male,50,1,28.0,1,1-2 Year,No,39007.0,26.0,112
476312,Male,57,1,28.0,1,1-2 Year,No,44861.0,26.0,237
18604,Male,28,1,33.0,1,< 1 Year,No,2630.0,160.0,139
155274,Male,29,1,30.0,1,< 1 Year,No,26139.0,152.0,236
219394,Female,28,1,29.0,1,< 1 Year,No,31078.0,152.0,298
319956,Male,67,1,8.0,1,1-2 Year,No,39909.0,25.0,210
138012,Female,27,1,32.0,1,< 1 Year,No,10004.0,152.0,193
475313,Female,22,1,11.0,1,< 1 Year,No,92865.0,152.0,70
78920,Male,27,1,28.0,1,< 1 Year,No,58694.0,152.0,82
261578,Male,30,1,11.0,1,< 1 Year,No,21503.0,152.0,91
170234,Female,34,1,28.0,1,1-2 Year,No,2630.0,157.0,84
232334,Female,25,1,29.0,1,< 1 Year,No,2630.0,152.0,24
490399,Male,70,1,15.0,1,1-2 Year,No,46767.0,124.0,111
286846,Female,26,1,37.0,1,< 1 Year,No,30877.0,152.0,193
70448,Male,24,1,15.0,1,< 1 Year,No,20933.0,152.0,105
381969,Female,37,1,41.0,1,1-2 Year,No,26908.0,152.0,27
405764,Male,35,1,25.0,1,1-2 Year,No,2630.0,152.0,234
343482,Male,59,1,8.0,1,1-2 Year,No,30365.0,26.0,93
132033,Female,27,1,28.0,1,< 1 Year,No,52966.0,152.0,259
110344,Female,25,1,28.0,1,< 1 Year,No,44029.0,152.0,215
349719,Male,21,1,30.0,1,< 1 Year,No,26115.0,152.0,25
469915,Male,30,1,28.0,1,< 1 Year,No,45417.0,152.0,155
179595,Female,24,1,33.0,1,< 1 Year,No,30948.0,152.0,45
118979,Male,45,1,26.0,0,1-2 Year,No,29259.0,120.0,73
99191,Male,27,1,46.0,1,< 1 Year,No,26330.0,152.0,81
344261,Female,27,1,4.0,0,< 1 Year,No,2630.0,160.0,182
505217,Female,30,1,24.0,1,< 1 Year,No,22224.0,152.0,28
300177,Female,57,1,50.0,1,1-2 Year,No,47634.0,124.0,161
89322,Female,36,1,35.0,1,1-2 Year,No,28987.0,152.0,266
31591,Female,20,1,45.0,1,< 1 Year,No,26727.0,160.0,163
20103,Male,28,1,13.0,0,< 1 Year,No,24914.0,152.0,71
149790,Female,26,1,15.0,1,< 1 Year,No,29677.0,152.0,21
81329,Female,22,1,21.0,1,< 1 Year,No,24160.0,152.0,255
172393,Female,69,1,15.0,0,1-2 Year,No,32460.0,152.0,17
86714,Male,40,1,28.0,1,1-2 Year,No,37972.0,122.0,178
59544,Female,27,1,45.0,1,< 1 Year,No,25810.0,26.0,278
423548,Male,25,1,28.0,1,< 1 Year,No,39972.0,152.0,97
267245,Female,30,1,11.0,1,< 1 Year,No,36925.0,152.0,207
177665,Female,71,1,20.0,1,1-2 Year,No,2630.0,122.0,128
170664,Male,26,1,28.0,1,< 1 Year,No,85720.0,152.0,219
17081,Male,38,1,38.0,1,1-2 Year,No,2630.0,124.0,156
112889,Male,23,1,29.0,1,< 1 Year,No,48018.0,152.0,23
190509,Male,24,1,6.0,0,< 1 Year,No,28031.0,152.0,64
410407,Female,25,1,29.0,1,< 1 Year,No,71717.0,152.0,197
6672,Female,62,1,28.0,1,1-2 Year,No,2630.0,125.0,186
125439,Female,22,1,2.0,1,< 1 Year,No,35501.0,152.0,280
151634,Male,51,1,36.0,1,1-2 Year,No,2630.0,26.0,147
15898,Male,60,1,8.0,1,1-2 Year,No,27796.0,26.0,262
358913,Male,28,1,29.0,1,< 1 Year,No,2630.0,152.0,84
478698,Male,27,1,28.0,1,< 1 Year,No,39927.0,152.0,64
280828,Male,67,1,8.0,1,1-2 Year,No,58913.0,26.0,152
142015,Female,54,1,48.0,1,1-2 Year,No,2630.0,15.0,117
236478,Male,25,1,21.0,1,< 1 Year,No,43948.0,152.0,243
